,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
267,retorno de pareja,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,36,2,1,27038,5.56,13519,50,27038,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808972+00:00
268,retorno de pareja,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,36,2,1,27038,5.56,13519,50,27038,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679581+00:00
308,santeria trabajos,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,22,1,1,8983,4.55,8983,100,8983,,,,,,,,,
309,santero cubano,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,2,1,1,19254,50,19254,100,19254,,,,,,,,,
316,santería cerca de mi ubicación,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,126,12,1,144089.4,9.52,12007.45,8.33,144089.4,,,,,,,,,
317,sintomas de brujeria,23009021436,Pagina 5 - Ruben,183136455017,como saber si te hicieron brujería,157,11,1,67204.75,7.01,6109.52,9.09,67204.75,,,,,,,,,
85,brujeria para el amor,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,61,3,0.5,45787,4.92,15262.33,16.67,91574,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.8089+00:00
86,brujeria para el amor,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,61,3,0.5,45787,4.92,15262.33,16.67,91574,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679484+00:00
45,amarres de parejas,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,41,4,0.333334,44569,9.76,11142.25,8.33,133706.73,,,,,,,,,
2,Curanderos de limpias,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,43,3,0,46165,6.98,15388.33,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808806+00:00
3,Curanderos de limpias,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,43,3,0,46165,6.98,15388.33,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679352+00:00
6,Curanderos sanadores,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,29,1,0,11244,3.45,11244,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.80881+00:00
7,Curanderos sanadores,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,29,1,0,11244,3.45,11244,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679358+00:00
8,Espiritistas,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,26,2,0,24610,7.69,12305,0,0,,,,,,,,,
9,Recupera a tu pareja,23009021436,Pagina 5 - Ruben,183136454097,gen1,2,0,0,0,0,0,0,0,,,,,,,,,
10,Recupera a tu pareja,23009021436,Pagina 5 - Ruben,183136454577,nuevo,8,0,0,0,0,0,0,0,,,,,,,,,
11,amare para el amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,20,0,0,0,0,0,0,0,,,,,,,,,
12,amarrar a un hombre,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
13,amarre a tu pareja,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,2,0,0,0,0,0,0,0,,,,,,,,,
14,amarre con ropa interior,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,3,0,0,0,0,0,0,0,,,,,,,,,
15,amarre de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,228,14,0,118525.16,6.14,8466.08,0,0,,,,,,,,,
16,amarre de personas,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,9,0,0,0,0,0,0,0,,,,,,,,,
17,amarre mujer,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
18,amarre para que me busque,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,3,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808824+00:00
19,amarre para que me busque,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,3,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679377+00:00
20,amarre para que mi ex vuelva conmigo,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,15,1,0,19101.5,6.67,19101.5,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808826+00:00
21,amarre para que mi ex vuelva conmigo,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,15,1,0,19101.5,6.67,19101.5,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679379+00:00
22,amarre para que mi ex vuelva conmigo,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,17,0,0,0,0,0,0,0,,,,,,,,,
23,amarre para que vuelva conmigo,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
24,amarre santa muerte,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,4,0,0,0,0,0,0,0,,,,,,,,,
25,amarres caseros,23009021436,Pagina 5 - Ruben,183136455257,amarres de amor caseros efectivos,3,0,0,0,0,0,0,0,,,,,,,,,
26,amarres con fotos,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
29,amarres de amor brujeria protecciones limpiezas hechizos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,,,,,,,,,
30,amarres de amor caseros,23009021436,Pagina 5 - Ruben,183136455257,amarres de amor caseros efectivos,18,1,0,4128,5.56,4128,0,0,,,,,,,,,
31,amarres de amor con fotos,23009021436,Pagina 5 - Ruben,183136454097,gen1,1,0,0,0,0,0,0,0,,,,,,,,,
32,amarres de amor con la santa muerte,23009021436,Pagina 5 - Ruben,183136454297,opta,1,0,0,0,0,0,0,0,,,,,,,,,
33,amarres de amor efectivos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,3,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808846+00:00
34,amarres de amor efectivos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,3,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679408+00:00
38,amarres de amor gratis,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,4,1,0,25087,25,25087,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808856+00:00
39,amarres de amor gratis,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,4,1,0,25087,25,25087,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679421+00:00
40,amarres de amor magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,3,0,0,0,0,0,0,0,,,,,,,,,
41,amarres de amor mas efectivos,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
42,amarres de amor precios,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
43,amarres de amor reales,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
44,amarres de pareja,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,11,0,0,0,0,0,0,0,,,,,,,,,
46,amarres en nicaragua,23009021436,Pagina 5 - Ruben,183136454537,nicaragua,2,0,0,0,0,0,0,0,,,,,,,,,
47,amarres magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,1,0,0,0,0,0,0,0,,,,,,,,,
48,amarres paga al ver resultados,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,,,,,,,,,
49,amarres para amor,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
50,amarres para enamorar a una mujer,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808876+00:00
