,Campaign,Keyword,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Conv Rate Score,CPA Score,CTR Score,Quality Score,Last Updated
50,12039330140,brujeria de amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
51,12039330140,brujeria buena,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
52,12039330140,brujeria amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
53,12039330140,brujeria amarre de amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
54,12039330140,brujas de verdad,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
55,12039330140,amarres poderosos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
56,12039330140,amarres para que vuelva,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
57,12039330140,amarres para parejas,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
58,12039330140,amarres para mi pareja,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
59,12039330140,amarres para enamorar a una mujer,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
60,12039330140,amarres magia negra,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
61,12039330140,amarres gratis,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
62,12039330140,amarres en linea,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
63,12039330140,amarres de pareja,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
64,12039330140,amarres de magia blanca,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
65,12039330140,amarres de brujeria,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
66,12039330140,amarres de amor verdaderos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
67,12039330140,amarres de amor para siempre,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
68,12039330140,amarres de amor paga al ver resultados,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
69,12039330140,amarres de amor magia negra,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
